Client,i,Factorial
127.0.0.1:51401,12,479001600
127.0.0.1:29385,11,39916800
127.0.0.1:37064,10,3628800
127.0.0.1:30409,9,362880
127.0.0.1:29897,8,40320
127.0.0.1:9418,7,5040
127.0.0.1:46315,6,720
127.0.0.1:13514,5,120
127.0.0.1:13002,4,24
127.0.0.1:23242,3,6
127.0.0.1:36042,2,2
127.0.0.1:22218,1,1
127.0.0.1:43209,20,2432902008176640000
127.0.0.1:19145,20,2432902008176640000
127.0.0.1:47305,19,121645100408832000
127.0.0.1:6858,18,6402373705728000
127.0.0.1:28873,17,355687428096000
127.0.0.1:36552,17,355687428096000
127.0.0.1:15049,17,355687428096000
127.0.0.1:37576,17,355687428096000
127.0.0.1:41673,16,20922789888000
127.0.0.1:42697,16,20922789888000
127.0.0.1:47817,16,20922789888000
127.0.0.1:42185,15,1307674368000
127.0.0.1:50889,14,87178291200
127.0.0.1:51401,13,6227020800
127.0.0.1:29385,12,479001600
127.0.0.1:37064,11,39916800
127.0.0.1:30409,10,3628800
127.0.0.1:29897,9,362880
127.0.0.1:9418,8,40320
127.0.0.1:46315,7,5040
127.0.0.1:13514,6,720
127.0.0.1:13002,5,120
127.0.0.1:23242,4,24
127.0.0.1:36042,3,6
127.0.0.1:22218,2,2
127.0.0.1:19146,1,1
127.0.0.1:47305,20,2432902008176640000
127.0.0.1:6858,19,121645100408832000
127.0.0.1:28873,18,6402373705728000
127.0.0.1:36552,18,6402373705728000
127.0.0.1:15049,18,6402373705728000
127.0.0.1:37576,18,6402373705728000
127.0.0.1:41673,17,355687428096000
127.0.0.1:42697,17,355687428096000
127.0.0.1:47817,17,355687428096000
127.0.0.1:42185,16,20922789888000
127.0.0.1:50889,15,1307674368000
127.0.0.1:51401,14,87178291200
127.0.0.1:29385,13,6227020800
127.0.0.1:37064,12,479001600
127.0.0.1:30409,11,39916800
127.0.0.1:29897,10,3628800
127.0.0.1:9418,9,362880
127.0.0.1:46315,8,40320
127.0.0.1:13514,7,5040
127.0.0.1:13002,6,720
127.0.0.1:23242,5,120
127.0.0.1:36042,4,24
127.0.0.1:22218,3,6
127.0.0.1:19146,2,2
127.0.0.1:24266,1,1
127.0.0.1:6858,20,2432902008176640000
127.0.0.1:28873,19,121645100408832000
127.0.0.1:36552,19,121645100408832000
127.0.0.1:15049,19,121645100408832000
127.0.0.1:37576,19,121645100408832000
127.0.0.1:41673,18,6402373705728000
