Client,i,Factorial
127.0.0.1:64182,2,2
127.0.0.1:33969,3,6
127.0.0.1:62647,3,6
127.0.0.1:64693,2,2
127.0.0.1:28338,5,120
127.0.0.1:38067,4,24
127.0.0.1:64180,2,2
127.0.0.1:62130,4,24
127.0.0.1:3256,2,2
127.0.0.1:19125,4,24
127.0.0.1:42164,4,24
127.0.0.1:37047,3,6
127.0.0.1:6840,2,2
127.0.0.1:50871,3,6
127.0.0.1:1208,3,6
127.0.0.1:40627,2,2
127.0.0.1:1234,5,120
127.0.0.1:12465,3,6
127.0.0.1:178,3,6
127.0.0.1:57009,5,120
127.0.0.1:32946,2,2
127.0.0.1:3251,2,2
127.0.0.1:28337,2,2
127.0.0.1:11953,2,2
127.0.0.1:11445,4,24
127.0.0.1:12979,2,2
127.0.0.1:27831,3,6
127.0.0.1:15543,3,6
127.0.0.1:57522,5,120
127.0.0.1:16053,4,24
127.0.0.1:47793,6,720
127.0.0.1:40631,3,6
127.0.0.1:15542,2,2
127.0.0.1:37557,4,24
127.0.0.1:45746,2,2
127.0.0.1:48817,4,24
127.0.0.1:64694,3,6
127.0.0.1:65201,2,2
127.0.0.1:39604,3,6
127.0.0.1:37078,3,6
127.0.0.1:3713,4,24
127.0.0.1:23733,4,24
127.0.0.1:52916,2,2
127.0.0.1:52458,2,2
127.0.0.1:60597,2,2
127.0.0.1:23787,4,24
127.0.0.1:51378,2,2
127.0.0.1:32470,2,2
127.0.0.1:34997,2,2
127.0.0.1:63668,2,2
127.0.0.1:33460,2,2
127.0.0.1:21172,2,2
127.0.0.1:46258,5,120
127.0.0.1:47280,3,6
127.0.0.1:34485,2,2
127.0.0.1:47792,2,2
127.0.0.1:26290,5,120
127.0.0.1:42193,3,6
127.0.0.1:62642,5,120
127.0.0.1:32432,3,6
127.0.0.1:22199,3,6
127.0.0.1:9912,2,2
127.0.0.1:7862,2,2
127.0.0.1:23219,5,120
127.0.0.1:19635,4,24
127.0.0.1:60596,3,6
127.0.0.1:63669,3,6
127.0.0.1:58544,4,24
127.0.0.1:54965,4,24
127.0.0.1:11446,2,2
127.0.0.1:34999,2,2
127.0.0.1:63154,5,120
127.0.0.1:58039,3,6
127.0.0.1:41169,4,24
127.0.0.1:18614,3,6
127.0.0.1:54964,2,2
127.0.0.1:56497,2,2
127.0.0.1:61618,2,2
127.0.0.1:12956,3,6
127.0.0.1:41652,4,24
127.0.0.1:48307,2,2
127.0.0.1:10418,4,24
127.0.0.1:20657,6,720
127.0.0.1:15541,4,24
127.0.0.1:9963,2,2
